DATE,SP500
2012-07-01,1440.67
2012-10-01,1426.19
2013-01-01,1569.19
2013-04-01,1606.28
2013-07-01,1681.55
2013-10-01,1848.36
2014-01-01,1872.34
2014-04-01,1960.23
2014-07-01,1972.29
2014-10-01,2058.90
2015-01-01,2067.89
2015-04-01,2063.11
2015-07-01,1920.03
2015-10-01,2043.94
2016-01-01,2059.74
2016-04-01,2098.86
2016-07-01,2168.27
2016-10-01,2238.83
2017-01-01,2362.72
2017-04-01,2423.41
2017-07-01,2519.36
2017-10-01,2673.61
2018-01-01,2640.87
2018-04-01,2718.37
2018-07-01,2913.98
2018-10-01,2506.85
2019-01-01,2834.4
2019-04-01,2941.76
2019-07-01,2976.74
2019-10-01,3230.78
2020-01-01,2584.59
2020-04-01,3100.29
2020-07-01,3363.0
2020-10-01,3756.07
2021-01-01,3972.89
2021-04-01,4297.5
2021-07-01,4307.54
2021-10-01,4766.18
2022-01-01,.
