index_date,sp500_value,normalized_eoq_date
"Jun 30, 2021","4,297.50",6/30/2021
"Mar 31, 2021","3,972.89",3/31/2021
"Dec 31, 2020","3,756.07",12/31/2020
"Sep 30, 2020","3,363.00",9/30/2020
"Jun 30, 2020","3,100.29",6/30/2020
"Mar 31, 2020","2,584.59",3/31/2020
"Dec 31, 2019","3,230.78",12/31/2019
"Sep 30, 2019","2,976.74",9/30/2019
"Jul 01, 2019","2,964.33",6/30/2019
"Apr 01, 2019","2,867.19",3/31/2019
"Dec 31, 2018","2,506.85",12/31/2018
"Oct 01, 2018","2,924.59",9/30/2018
"Jun 29, 2018","2,718.37",6/30/2018
"Apr 02, 2018","2,581.88",3/31/2018
"Jan 02, 2018","2,695.81",12/31/2017
"Sep 29, 2017","2,519.36",9/30/2017
"Jun 30, 2017","2,423.41",6/30/2017
"Mar 31, 2017","2,362.72",3/31/2017
"Dec 30, 2016","2,238.83",12/31/2016
"Sep 30, 2016","2,168.27",9/30/2016
"Jun 30, 2016","2,098.86",6/30/2016
"Mar 31, 2016","2,059.74",3/31/2016
"Dec 31, 2015","2,043.94",12/31/2015
"Sep 30, 2015","1,920.03",9/30/2015
"Jun 30, 2015","2,063.11",6/30/2015
"Mar 31, 2015","2,067.89",3/31/2015
"Dec 31, 2014","2,058.90",12/31/2014
"Sep 30, 2014","1,972.29",9/30/2014
"Jun 30, 2014","1,960.23",6/30/2014
"Mar 31, 2014","1,872.34",3/31/2014
"Dec 31, 2013","1,848.36",12/31/2013
"Sep 30, 2013","1,681.55",9/30/2013
"Jul 01, 2013","1,614.96",6/30/2013
"Apr 01, 2013","1,562.17",3/31/2013
"Dec 31, 2012","1,426.19",12/31/2012
"Oct 01, 2012","1,444.49",9/30/2012
"Jun 29, 2012","1,362.16",6/30/2012
"Mar 30, 2012","1,408.47",3/31/2012
"Dec 30, 2011","1,257.60",12/31/2011
"Sep 30, 2011","1,131.42",9/30/2011
"Jun 30, 2011","1,320.64",6/30/2011
"Mar 31, 2011","1,325.83",3/31/2011
"Dec 31, 2010","1,257.64",12/31/2010
"Sep 30, 2010","1,141.20",9/30/2010
"Jun 30, 2010","1,030.71",6/30/2010
"Mar 31, 2010","1,169.43",3/31/2010
"Dec 31, 2009","1,115.10",12/31/2009
"Sep 30, 2009","1,057.08",9/30/2009
"Jun 30, 2009",919.32,6/30/2009
"Mar 31, 2009",797.87,3/31/2009
