report_date,assigned_unid,fund_name,initial_investment_date,commitment,contributions,unfunded_commitment,current_market_value,distributions,total_value,tvpi,net_benefit,irr,strategy,,,,,,,,,,,,,,
3/31/2013,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,1657500,298342500,0,0,0,0.000,-1657500,NA,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
6/30/2013,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,1657500,298342500,0,0,0,0.000,-1657500,NA,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
9/30/2013,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,34825410,265174590,20093668,0,20093668,0.600,-14731742,NA,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
12/31/2013,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,38463892,272625752,19631243,11089644,30720887,0.800,-7743005,-0.44070,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
3/31/2014,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,32778164,278654725,18356389,11707413,30063802,0.900,-2714362,-0.14680,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
6/30/2014,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,32778164,278654725,28523037,11707413,40230450,1.200,7452286,0.32140,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
9/30/2014,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,48195885,263237004,50387308,11707413,62094721,1.300,13898836,0.44310,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
12/31/2014,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,77861428,233571461,83285159,11707413,94992572,1.200,17131144,0.36030,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
3/31/2015,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,80600902,239570695,74084162,23119203,97203365,1.200,16602463,0.25860,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
6/30/2015,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,94212517,230475891,120299455,27636015,147935470,1.600,53722953,0.60550,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
9/30/2015,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,120628473,204059936,136998490,28130924,165129414,1.400,44500942,0.40080,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
12/31/2015,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,120628473,204059936,148067116,28130924,176198040,1.500,55569568,0.39410,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
3/31/2016,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,123367946,201320462,108479984,58978073,167458057,1.400,44090111,0.26930,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
6/30/2016,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,142858484,196526695,121974427,73674844,195649271,1.400,52790787,0.27700,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,Mezzanine
9/30/2016,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,160251781,179133398,140114517,75205005,215319522,1.300,55067741,0.25430,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
12/31/2016,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,160251781,179133398,141431260,75205005,216636265,1.400,56384484,0.23080,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
3/31/2017,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,173330249,166054930,172122520,75875502,247998022,1.400,74667773,0.26120,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
6/30/2017,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,173085983,166299196,192461308,76850711,269312019,1.600,96226036,0.28830,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
9/30/2017,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,176369921,163015258,215683537,78575075,294258612,1.700,117888691,0.30570,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
12/31/2017,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,215588301,123796878,261486224,93918073,355404297,1.600,139815996,0.31630,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
