index_date,sp500_value,normalized_eoq_date
7/1/2012,1440.67,6/30/2012
10/1/2012,1426.19,9/30/2012
1/1/2013,1569.19,12/31/2012
4/1/2013,1606.28,3/31/2013
7/1/2013,1681.55,6/30/2013
10/1/2013,1848.36,9/30/2013
1/1/2014,1872.34,12/31/2013
4/1/2014,1960.23,3/31/2014
7/1/2014,1972.29,6/30/2014
10/1/2014,2058.9,9/30/2014
1/1/2015,2067.89,12/31/2014
4/1/2015,2063.11,3/31/2015
7/1/2015,1920.03,6/30/2015
10/1/2015,2043.94,9/30/2015
1/1/2016,2059.74,12/31/2015
4/1/2016,2098.86,3/31/2016
7/1/2016,2168.27,6/30/2016
10/1/2016,2238.83,9/30/2016
1/1/2017,2362.72,12/31/2016
4/1/2017,2423.41,3/31/2017
7/1/2017,2519.36,6/30/2017
10/1/2017,2673.61,9/30/2017
1/1/2018,2640.87,12/31/2017
4/1/2018,2718.37,3/31/2018
7/1/2018,2913.98,6/30/2018
10/1/2018,2506.85,9/30/2018
1/1/2019,2834.4,12/31/2018
4/1/2019,2941.76,3/31/2019
7/1/2019,2976.74,6/30/2019
10/1/2019,3230.78,9/30/2019
1/1/2020,2584.59,12/31/2019
4/1/2020,3100.29,3/31/2020
7/1/2020,3363,6/30/2020
10/1/2020,3756.07,9/30/2020
1/1/2021,3972.89,12/31/2020
4/1/2021,4297.5,3/31/2021
7/1/2021,4307.54,6/30/2021
